iter	RMSE
0	13.78851396
1	12.976437
2	12.22601481
3	11.52154069
4	10.95853366
5	10.44752367
6	9.941405492
7	9.504650968
8	9.086542912
9	8.671407151
10	8.286356086
11	8.001015798
12	7.733795933
13	7.510091155
14	7.272594787
15	7.068694948
16	6.854242
17	6.697443919
18	6.527883112
19	6.394827492
20	6.272915654
21	6.176160912
22	6.066043909
23	5.962812825
24	5.86383125
25	5.79917255
26	5.733478431
27	5.67162876
28	5.610869396
29	5.558793058
30	5.520432279
31	5.476106526
32	5.424103761
33	5.371157847
34	5.321880971
35	5.287777153
36	5.26461075
37	5.241605268
38	5.221396441
39	5.189042822
40	5.16144921
41	5.137960019
42	5.117266246
43	5.098382736
44	5.08169732
45	5.054614605
46	5.036690065
47	5.025736094
48	5.006840516
49	4.976103179
50	4.954273737
51	4.927818433
52	4.916155492
53	4.906851041
54	4.893756723
55	4.883390271
56	4.872322941
57	4.857162827
58	4.844651751
59	4.835314061
60	4.822142059
61	4.811446297
62	4.798218469
63	4.788005162
64	4.776688961
65	4.764544416
66	4.756738952
67	4.749445428
68	4.732136737
69	4.726454491
70	4.717713849
71	4.711641277
72	4.699638751
73	4.685628815
74	4.667693183
75	4.653331163
76	4.649901995
77	4.641528438
78	4.638297089
79	4.626291051
80	4.616498342
81	4.608407606
82	4.598984994
83	4.593394011
84	4.585443996
85	4.577450954
86	4.573896606
87	4.567528833
88	4.555310461
89	4.546597306
90	4.54523222
91	4.534622741
92	4.526950883
93	4.516759585
94	4.511344419
95	4.509370023
96	4.503533684
97	4.491456618
98	4.479623123
99	4.472676673
