iter	Passed	Remaining
0	0	74
1	1	70
2	2	67
3	2	65
4	3	64
5	4	63
6	4	62
7	5	60
8	5	59
9	6	59
10	7	58
11	8	59
12	8	59
13	9	58
14	10	57
15	10	56
16	11	56
17	12	56
18	12	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	25	43
37	26	42
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
